pen,Age,Cohort,rep,Diet,Challenge,VL
B6,22,ctl_Mock,V6,ctl,Mock,782.176208
B6,22,ctl_Mock,V7,ctl,Mock,761.396058
B6,22,ctl_Mock,V8,ctl,Mock,757.532678
B6,22,ctl_Mock,V9,ctl,Mock,822.895843
B6,22,ctl_Mock,V10,ctl,Mock,833.309217
B7,22,ctl_Mock,V1,ctl,Mock,620.244426
B7,22,ctl_Mock,V2,ctl,Mock,461.496512
B7,22,ctl_Mock,V3,ctl,Mock,461.495981
B7,22,ctl_Mock,V4,ctl,Mock,493.832785
B10,22,ctl_Mock,V1,ctl,Mock,664.54213
B10,22,ctl_Mock,V2,ctl,Mock,633.30572
B10,22,ctl_Mock,V3,ctl,Mock,465.158113
B10,22,ctl_Mock,V4,ctl,Mock,597.637356
B8,22,ctl_Mock,V1,ctl,Mock,517.019191
B8,22,ctl_Mock,V2,ctl,Mock,472.615976
B8,22,ctl_Mock,V3,ctl,Mock,664.739478
B13,22,ctl_SE,V1,ctl,SE,666.524217
B13,22,ctl_SE,V2,ctl,SE,733.503393
B13,22,ctl_SE,V3,ctl,SE,773.546205
B13,22,ctl_SE,V4,ctl,SE,912.699718
B13,22,ctl_SE,V5,ctl,SE,873.270652
B13,22,ctl_SE,V6,ctl,SE,564.357269
B13,22,ctl_SE,V7,ctl,SE,798.086976
B13,22,ctl_SE,V8,ctl,SE,684.565815
B13,22,ctl_SE,V9,ctl,SE,687.647229
B1,22,ctl_SE,V1,ctl,SE,490.673619
B1,22,ctl_SE,V2,ctl,SE,547.990111
B1,22,ctl_SE,V3,ctl,SE,541.032387
B1,22,ctl_SE,V4,ctl,SE,711.359847
B1,22,ctl_SE,V5,ctl,SE,658.013981
B12,22,ctl_SE,V1,ctl,SE,700.147842
B12,22,ctl_SE,V2,ctl,SE,620.30294
B12,22,ctl_SE,V3,ctl,SE,475.584913
B12,22,ctl_SE,V4,ctl,SE,387.052704
B12,22,ctl_SE,V5,ctl,SE,454.863558
B5,22,ctl_SE,V1,ctl,SE,529.541439
B5,22,ctl_SE,V2,ctl,SE,561.497881
B5,22,ctl_SE,V3,ctl,SE,542.6109
B5,22,ctl_SE,V4,ctl,SE,839.056054
B11,22,ctl_SE,V1,ctl,SE,511.563956
B11,22,ctl_SE,V2,ctl,SE,600.678342
B11,22,ctl_SE,V3,ctl,SE,672.946779
B11,22,ctl_SE,V4,ctl,SE,502.708238
B4,22,ctl_SE,V1,ctl,SE,704.926116
B4,22,ctl_SE,V2,ctl,SE,609.571069
B4,22,ctl_SE,V3,ctl,SE,681.667943
B6,22,ctl_SE,V1,ctl,SE,699.458148
B6,22,ctl_SE,V2,ctl,SE,757.531902
B6,22,ctl_SE,V3,ctl,SE,709.26917
B4,24,GOS_Mock,V1,GOS,Mock,612.79539
B4,24,GOS_Mock,V2,GOS,Mock,503.578075
B4,24,GOS_Mock,V3,GOS,Mock,658.80163
B4,24,GOS_Mock,V4,GOS,Mock,498.007235
B4,24,GOS_Mock,V5,GOS,Mock,707.320681
